No devices were found
Reward at iter 220672: 500.0
Reward at iter 220928: 500.0
Reward at iter 221184: 500.0
Reward at iter 221440: 500.0
Reward at iter 221696: 500.0
Reward at iter 221952: 500.0
Reward at iter 222208: 500.0
Reward at iter 222464: 500.0
Reward at iter 222720: 500.0
Reward at iter 222976: 500.0
Reward at iter 223232: 500.0
Reward at iter 223488: 500.0
Reward at iter 223744: 500.0
Reward at iter 224000: 500.0
Reward at iter 224256: 500.0
Reward at iter 224512: 500.0
Reward at iter 224768: 500.0
Reward at iter 225024: 500.0
Reward at iter 225280: 500.0
Reward at iter 225536: 500.0
Reward at iter 225792: 500.0
Reward at iter 226048: 500.0
Reward at iter 226304: 500.0
Reward at iter 226560: 500.0
Reward at iter 226816: 500.0
Reward at iter 227072: 21.8
Reward at iter 227328: 13.6
Reward at iter 227584: 16.2
Reward at iter 227840: 17.8
Reward at iter 228096: 19.0
Reward at iter 228352: 18.8
Reward at iter 228608: 21.8
Reward at iter 228864: 21.0
Reward at iter 229120: 19.8
Reward at iter 229376: 21.8
Reward at iter 229632: 21.8
Reward at iter 229888: 28.2
Reward at iter 230144: 25.8
Reward at iter 230400: 24.4
Reward at iter 230656: 27.4
Reward at iter 230912: 39.2
Reward at iter 231168: 29.4
Reward at iter 231424: 35.2
Reward at iter 231680: 37.2
Reward at iter 231936: 43.0
Reward at iter 232192: 134.8
Reward at iter 232448: 339.4
Reward at iter 232704: 384.4
Reward at iter 232960: 423.4
Reward at iter 233216: 439.8
Reward at iter 233472: 474.2
Reward at iter 233728: 497.2
Reward at iter 233984: 500.0
Reward at iter 234240: 500.0
Reward at iter 234496: 500.0
Reward at iter 234752: 500.0
Reward at iter 235008: 500.0
Reward at iter 235264: 500.0
Reward at iter 235520: 500.0
Reward at iter 235776: 500.0
Reward at iter 236032: 500.0
Reward at iter 236288: 500.0
Reward at iter 236544: 500.0
Reward at iter 236800: 500.0
Reward at iter 237056: 500.0
