No devices were found
Reward at iter 125440: -200.0
Reward at iter 125696: -200.0
Reward at iter 125952: -200.0
Reward at iter 126208: -200.0
Reward at iter 126464: -200.0
Reward at iter 126720: -200.0
Reward at iter 126976: -200.0
Reward at iter 127232: -200.0
Reward at iter 127488: -200.0
Reward at iter 127744: -200.0
Reward at iter 128000: -200.0
Reward at iter 128256: -200.0
Reward at iter 128512: -200.0
Reward at iter 128768: -200.0
Reward at iter 129024: -200.0
Reward at iter 129280: -200.0
Reward at iter 129536: -200.0
Reward at iter 129792: -200.0
Reward at iter 130048: -200.0
Reward at iter 130304: -200.0
Reward at iter 130560: -200.0
Reward at iter 130816: -200.0
Reward at iter 131072: -200.0
Reward at iter 131328: -200.0
Reward at iter 131584: -200.0
Reward at iter 131840: -200.0
Reward at iter 132096: -200.0
Reward at iter 132352: -200.0
Reward at iter 132608: -200.0
Reward at iter 132864: -200.0
Reward at iter 133120: -200.0
Reward at iter 133376: -200.0
Reward at iter 133632: -200.0
Reward at iter 133888: -200.0
Reward at iter 134144: -200.0
Reward at iter 134400: -200.0
Reward at iter 134656: -200.0
Reward at iter 134912: -200.0
Reward at iter 135168: -200.0
Reward at iter 135424: -200.0
Reward at iter 135680: -200.0
Reward at iter 135936: -200.0
Reward at iter 136192: -200.0
Reward at iter 136448: -200.0
Reward at iter 136704: -200.0
Reward at iter 136960: -200.0
Reward at iter 137216: -200.0
Reward at iter 137472: -200.0
Reward at iter 137728: -200.0
Reward at iter 137984: -200.0
Reward at iter 138240: -200.0
Reward at iter 138496: -200.0
Reward at iter 138752: -200.0
Reward at iter 139008: -200.0
Reward at iter 139264: -200.0
Reward at iter 139520: -200.0
Reward at iter 139776: -200.0
Reward at iter 140032: -200.0
Reward at iter 140288: -200.0
Reward at iter 140544: -200.0
Reward at iter 140800: -200.0
Reward at iter 141056: -200.0
Reward at iter 141312: -200.0
Reward at iter 141568: -200.0
Reward at iter 141824: -200.0
Reward at iter 142080: -200.0
Reward at iter 142336: -200.0
Reward at iter 142592: -200.0
Reward at iter 142848: -200.0
Reward at iter 143104: -200.0
Reward at iter 143360: -200.0
Reward at iter 143616: -200.0
Reward at iter 143872: -200.0
Reward at iter 144128: -200.0
Reward at iter 144384: -200.0
Reward at iter 144640: -200.0
Reward at iter 144896: -200.0
Reward at iter 145152: -200.0
Reward at iter 145408: -200.0
Reward at iter 145664: -200.0
Reward at iter 145920: -200.0
Reward at iter 146176: -200.0
Reward at iter 146432: -200.0
Reward at iter 146688: -200.0
Reward at iter 146944: -200.0
Reward at iter 147200: -200.0
Reward at iter 147456: -200.0
Reward at iter 147712: -200.0
Reward at iter 147968: -200.0
Reward at iter 148224: -200.0
Reward at iter 148480: -200.0
Reward at iter 148736: -200.0
Reward at iter 148992: -200.0
Reward at iter 149248: -200.0
Reward at iter 149504: -200.0
Reward at iter 149760: -200.0
Reward at iter 150016: -200.0
Reward at iter 150272: -200.0
Reward at iter 150528: -200.0
Reward at iter 150784: -200.0
Reward at iter 151040: -200.0
Reward at iter 151296: -200.0
Reward at iter 151552: -200.0
Reward at iter 151808: -200.0
Reward at iter 152064: -200.0
Reward at iter 152320: -200.0
Reward at iter 152576: -200.0
Reward at iter 152832: -200.0
Reward at iter 153088: -200.0
Reward at iter 153344: -200.0
Reward at iter 153600: -200.0
Reward at iter 153856: -200.0
Reward at iter 154112: -200.0
Reward at iter 154368: -200.0
Reward at iter 154624: -200.0
Reward at iter 154880: -200.0
Reward at iter 155136: -200.0
Reward at iter 155392: -200.0
Reward at iter 155648: -200.0
Reward at iter 155904: -200.0
Reward at iter 156160: -200.0
Reward at iter 156416: -200.0
Reward at iter 156672: -200.0
Reward at iter 156928: -200.0
Reward at iter 157184: -200.0
Reward at iter 157440: -200.0
Reward at iter 157696: -200.0
Reward at iter 157952: -200.0
Reward at iter 158208: -200.0
Reward at iter 158464: -200.0
Reward at iter 158720: -200.0
Reward at iter 158976: -200.0
Reward at iter 159232: -200.0
Reward at iter 159488: -200.0
Reward at iter 159744: -200.0
Reward at iter 160000: -200.0
Reward at iter 160256: -200.0
Reward at iter 160512: -200.0
Reward at iter 160768: -200.0
Reward at iter 161024: -200.0
Reward at iter 161280: -200.0
Reward at iter 161536: -200.0
Reward at iter 161792: -200.0
Reward at iter 162048: -200.0
Reward at iter 162304: -200.0
Reward at iter 162560: -200.0
Reward at iter 162816: -200.0
Reward at iter 163072: -200.0
Reward at iter 163328: -200.0
Reward at iter 163584: -200.0
Reward at iter 163840: -200.0
Reward at iter 164096: -200.0
Reward at iter 164352: -200.0
Reward at iter 164608: -200.0
Reward at iter 164864: -200.0
Reward at iter 165120: -200.0
Reward at iter 165376: -200.0
Reward at iter 165632: -200.0
Reward at iter 165888: -200.0
Reward at iter 166144: -200.0
Reward at iter 166400: -200.0
Reward at iter 166656: -200.0
Reward at iter 166912: -200.0
Reward at iter 167168: -200.0
Reward at iter 167424: -200.0
Reward at iter 167680: -200.0
Reward at iter 167936: -200.0
Reward at iter 168192: -200.0
Reward at iter 168448: -200.0
Reward at iter 168704: -200.0
Reward at iter 168960: -200.0
Reward at iter 169216: -200.0
Reward at iter 169472: -200.0
Reward at iter 169728: -200.0
Reward at iter 169984: -200.0
Reward at iter 170240: -200.0
Reward at iter 170496: -200.0
Reward at iter 170752: -200.0
Reward at iter 171008: -200.0
Reward at iter 171264: -200.0
Reward at iter 171520: -200.0
Reward at iter 171776: -200.0
Reward at iter 172032: -200.0
Reward at iter 172288: -200.0
Reward at iter 172544: -200.0
Reward at iter 172800: -200.0
Reward at iter 173056: -200.0
Reward at iter 173312: -200.0
Reward at iter 173568: -200.0
Reward at iter 173824: -200.0
Reward at iter 174080: -200.0
Reward at iter 174336: -200.0
Reward at iter 174592: -200.0
Reward at iter 174848: -200.0
Reward at iter 175104: -200.0
Reward at iter 175360: -200.0
Reward at iter 175616: -200.0
Reward at iter 175872: -200.0
Reward at iter 176128: -200.0
Reward at iter 176384: -200.0
Reward at iter 176640: -200.0
Reward at iter 176896: -200.0
Reward at iter 177152: -200.0
Reward at iter 177408: -200.0
Reward at iter 177664: -200.0
Reward at iter 177920: -200.0
Reward at iter 178176: -200.0
Reward at iter 178432: -200.0
Reward at iter 178688: -200.0
Reward at iter 178944: -200.0
Reward at iter 179200: -200.0
Reward at iter 179456: -200.0
Reward at iter 179712: -200.0
Reward at iter 179968: -200.0
Reward at iter 180224: -200.0
Reward at iter 180480: -200.0
Reward at iter 180736: -200.0
Reward at iter 180992: -200.0
Reward at iter 181248: -200.0
Reward at iter 181504: -200.0
Reward at iter 181760: -200.0
Reward at iter 182016: -200.0
Reward at iter 182272: -200.0
Reward at iter 182528: -200.0
Reward at iter 182784: -200.0
Reward at iter 183040: -200.0
Reward at iter 183296: -200.0
Reward at iter 183552: -200.0
Reward at iter 183808: -200.0
Reward at iter 184064: -200.0
Reward at iter 184320: -200.0
Reward at iter 184576: -200.0
Reward at iter 184832: -200.0
Reward at iter 185088: -200.0
Reward at iter 185344: -200.0
Reward at iter 185600: -200.0
Reward at iter 185856: -200.0
Reward at iter 186112: -200.0
Reward at iter 186368: -200.0
Reward at iter 186624: -200.0
Reward at iter 186880: -200.0
Reward at iter 187136: -200.0
Reward at iter 187392: -200.0
Reward at iter 187648: -200.0
Reward at iter 187904: -200.0
Reward at iter 188160: -200.0
Reward at iter 188416: -200.0
Reward at iter 188672: -200.0
Reward at iter 188928: -200.0
Reward at iter 189184: -200.0
Reward at iter 189440: -200.0
Reward at iter 189696: -200.0
Reward at iter 189952: -200.0
Reward at iter 190208: -200.0
Reward at iter 190464: -200.0
Reward at iter 190720: -200.0
Reward at iter 190976: -200.0
Reward at iter 191232: -200.0
Reward at iter 191488: -200.0
Reward at iter 191744: -200.0
Reward at iter 192000: -200.0
