Thu Mar 19 00:43:39 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 595.45.04              Driver Version: 595.45.04      CUDA Version: 13.2     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Setting seed -  9
---------------------------------
Environment created
Box(-0.4, 0.4, (17,), float32) Box(-inf, inf, (348,), float64)
Starting Initial training
avg 3 return on policy: 250.3121794462204
avg 3 return on policy: 249.9961861371994
avg 3 return on policy: 251.56190196673074
avg 3 return on policy: 250.17514701684317
avg 3 return on policy: 248.0018660624822
avg 3 return on policy: 252.21077720324197
avg 3 return on policy: 254.12420880794525
avg 3 return on policy: 249.82886336247125
avg 3 return on policy: 243.10225794712701
avg 3 return on policy: 245.10477336247763
avg 3 return on policy: 241.26800100008646
avg 3 return on policy: 245.17398124933243
avg 3 return on policy: 247.36385532220206
avg 3 return on policy: 237.24925818045935
avg 3 return on policy: 233.46006200710931
avg 3 return on policy: 234.97299220164618
avg 3 return on policy: 231.45637822151184
avg 3 return on policy: 229.06092977523804
avg 3 return on policy: 232.6367520491282
avg 3 return on policy: 235.02399490276972
avg 3 return on policy: 235.33771826823553
avg 3 return on policy: 236.66385507583618
avg 3 return on policy: 228.67524949709573
avg 3 return on policy: 229.06588367621103
avg 3 return on policy: 231.01052484909692
avg 3 return on policy: 232.31605966885886
avg 3 return on policy: 236.4783601562182
avg 3 return on policy: 241.39165651798248
avg 3 return on policy: 241.55663909514746
avg 3 return on policy: 247.89501120646796
avg 3 return on policy: 243.59728197256723
avg 3 return on policy: 244.88060965140662
avg 3 return on policy: 252.89495394627252
avg 3 return on policy: 244.18597668409348
avg 3 return on policy: 240.370001912117
avg 3 return on policy: 238.91563971837363
avg 3 return on policy: 238.39708369970322
avg 3 return on policy: 241.1334908803304
avg 3 return on policy: 247.66290801763535
avg 3 return on policy: 254.07136404514313
avg 3 return on policy: 253.57075011730194
avg 3 return on policy: 247.6853168408076
