No devices were found
Environment created
Box(-1.0, 1.0, (8,), float32) Box(-inf, inf, (105,), float64)
Loading Initial saved model
Model loaded
Starting evaluation
5000
---------------------------------
Searching empty space policies
(10, 11472)
(210, 11472)
(210, 11472)
avg return on 5 trajectories of agent102: 1057.1227256000002
avg return on 5 trajectories of agent103: 1098.6417584
avg return on 5 trajectories of agent104: 1193.4712572
avg return on 5 trajectories of agent105: 1252.0674694
avg return on 5 trajectories of agent106: 1066.3616924
avg return on 5 trajectories of agent107: 1107.5258404
avg return on 5 trajectories of agent108: 1296.462343
avg return on 5 trajectories of agent109: 1180.624684
avg return on 5 trajectories of agent110: 1283.7669389999999
avg return on 5 trajectories of agent111: 1197.7315608000001
avg return on 5 trajectories of agent112: 1186.8112142
avg return on 5 trajectories of agent113: 1157.7297574
avg return on 5 trajectories of agent114: 1278.9037332
avg return on 5 trajectories of agent115: 1083.8613792
avg return on 5 trajectories of agent116: 1171.1863898
avg return on 5 trajectories of agent117: 1157.4588584
avg return on 5 trajectories of agent118: 989.1155744
avg return on 5 trajectories of agent119: 1028.1459534
avg return on 5 trajectories of agent120: 1009.0021687999999
avg return on 5 trajectories of agent121: 1057.7026304
avg return on 5 trajectories of agent122: 917.8854279999999
avg return on 5 trajectories of agent123: 953.5088274
avg return on 5 trajectories of agent124: 865.3135702
avg return on 5 trajectories of agent125: 844.8662496000001
avg return on 5 trajectories of agent126: 1211.7654328
avg return on 5 trajectories of agent127: 1269.320428
